"target_piece","loc_removed","remove_value","file_removed","rank_removed"
"R","a1",669,1,1
"R","a1",745,1,1
"R","a1",767,1,1
"R","a1",724,1,1
"R","a1",716,1,1
"R","a1",768,1,1
"R","d1",707,4,1
"R","d1",665,4,1
"R","d1",739,4,1
"R","d1",792,4,1
"R","d1",779,4,1
"R","d1",846,4,1
"R","d1",814,4,1
"R","d1",934,4,1
"R","d1",876,4,1
